Latitud,Longitud,Ancho Izq,Ancho Der,1=es cabecera/0=no es cambecera ,Velocidad,Dosis S1,Dosis S2,Dosis S3,Dosis S4,Dosis S1 Target,Dosis S2 Target,Hora,Minutos,Segundos,Dosis S3 Target,Dosis S4 Target,Corrimiento Antena X,Corrimiento Antena Y,Corrimiento Antena V,Corrimiento Antena H,Rendimiento Instantaneo Forraje,Acumulador Rendimiento Forraje,Siembra->Semilla Metros/Parcela->Contador [1],Siembra->Semilla Metros/Parcela->Contador [2],Siembra->Semilla Metros/Parcela->Contador [3],Siembra->Semilla Metros/Parcela->Contador [4],Siembra->Semilla Metros/Parcela->Contador [5],Siembra->Semilla Metros/Parcela->Contador [6],Siembra->Semilla Metros/Parcela->Contador [7],Siembra->Semilla Metros/Parcela->Contador [8],Siembra->Semilla Metros/Parcela->Contador [9],Siembra->Semilla Metros/Parcela->Contador [10],Siembra->Semilla Metros/Parcela->Contador [11],Siembra->Semilla Metros/Parcela->Contador [12],Siembra->Semilla Metros/Parcela->Contador [13],Siembra->Semilla Metros/Parcela->Contador [14],Siembra->Semilla Metros/Parcela->Contador [15],Target Siembra,Promedio Siembra,Apertura Sensor Forraje Pulso,Factor Calibracion,
-35.1906401233,-59.9177239101,0.2445,0.2445,0,5.2,0,0,0,0,50,50,11,54,17,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1906593709,-59.9246993563,4.89,4.89,0,0,0,0,0,0,50,50,12,20,50,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,-1,1,
-35.1906664391,-59.9246886452,0.2445,0.2445,0,2.6,0,0,0,0,0,0,12,23,57,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1906652561,-59.9246619241,0.2445,0.2445,0,3.2,0,0,0,0,0,0,12,23,57,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1906536384,-59.9245911278,0.2445,0.2445,0,2.8,0,0,0,0,0,0,12,23,57,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.190660028,-59.9245952741,0.2445,0.2445,0,3.4,0,0,0,0,0,0,12,23,57,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1906704077,-59.9246009043,0.2445,0.2445,0,3.7,0,0,0,0,0,0,12,23,57,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1906918543,-59.9246062757,0.2445,0.2445,0,4.8,0,0,0,0,0,0,12,23,57,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1908659501,-59.9246602791,0.2445,0.2445,0,5.5,0,0,0,0,0,0,12,24,27,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
-35.1909479384,-59.924700574,0.2445,0.2445,0,5.5,0,0,0,0,0,0,12,24,27,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-1,1,
